GO NO,ARREST BOOKING NO_PK,PIN,AGE,SEX,RACE,ETHNICITY,ARREST DATE,ARREST TIME,BT,ARREST REASON,ARREST TYPE,SUMMARY OF FACTS,ARREST OFFICER,ARREST OFFICER NAME,CURRENT STATUS,YOUNG OFFENDER?
SJ2020202860424,SJ202014848,442215754,49,M,W,W,10/12/2020,1352,S4,ON VIEW,ON VIEW ARREST,THREATEN CRIME WITH INTENT TO TERRORIZE (ONVW),4533,MARTINEZ,CHARGED/BOOKED,N
SJ2020202860436,SJ202014855,441775130,26,M,H,H,10/12/2020,1649,S5,ON VIEW,ON VIEW ARREST,DISORDERLY CONDUCT/ALCOHOL (ONVW),4889,KWIATKOWSKI,CHARGED/BOOKED,N
SJ2020202860441,SJ202014849,442069996,23,M,O,O,10/12/2020,1245,W1,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
SJ2020202860463,SJ202014889,288752643,36,F,H,H,10/12/2020,1410,,CRIMINAL CITATION,SUMMONED/CITED,BATTERY ON PERSON (PUNISHMENT) (CITE),3467,MARTINEZ,CITED,N
SJ2020202860481,SJ202014887,442200713,26,M,H,H,10/12/2020,1434,,CRIMINAL CITATION,SUMMONED/CITED,INDECENT EXPOSURE (CITE),4545,ORTEGA,CITED,N
SJ2020202860523,SJ202014913,209387779,34,F,W,W,10/12/2020,1505,S5,ON VIEW,ON VIEW ARREST,THEFT OR UNAUTHORIZED USE OF VEHICLE (ONVW),4857,MADERA ARROYO,CHARGED/BOOKED,N
SJ2020202860684,SJ202014854,441933859,33,M,A,A,10/12/2020,1712,R2,ON VIEW,ON VIEW ARREST,DRIVING/TAKING VEHICLE W/O OWNERS PERMISSION (ONVW),4580,GONZALEZ,CHARGED/BOOKED,N
SJ2020202860687,SJ202014850,165022741,30,M,H,H,10/12/2020,1800,K5,ON VIEW,ON VIEW ARREST,USE/UNDER INFL CONTRLD SUBSTANCE (ONVW),4323,FERRANTE,CHARGED/BOOKED,N
SJ2020202860692,SJ202014885,442270572,43,F,O,O,10/12/2020,1922,A4,CRIMINAL CITATION,SUMMONED/CITED,BATTERY ON PERSON (PUNISHMENT) (CITE),4811,SEVILLANO JR,CITED,N
SJ2020202860785,SJ202014861,441983392,29,M,W,W,10/12/2020,2030,A3,ON VIEW,ON VIEW ARREST,DRIVING/TAKING VEHICLE W/O OWNERS PERMISSION (ONVW),,,CHARGED/BOOKED,N
SJ2020202860833,SJ202014853,442057324,33,M,W,W,10/12/2020,1937,T3,ON VIEW,ON VIEW ARREST,POSSESS CONTROLLED SUBSTANCE (ONVW),4611,AREVALO,CHARGED/BOOKED,N
SJ2020202860869,SJ202014857,441861014,51,M,H,H,10/12/2020,2253,L6,ON VIEW,ON VIEW ARREST,"RESISTING, DELAYING, OBSTRUCTING AN OFFICER (ONVW)",4827,MENDEZ,CHARGED/BOOKED,N
SJ2020202860870,SJ202014861,441983392,29,M,W,W,10/12/2020,2030,A3,ON VIEW,ON VIEW ARREST,DRIVING/TAKING VEHICLE W/O OWNERS PERMISSION (ONVW),,,CHARGED/BOOKED,N
SJ2020202860884,SJ202015014,441941100,34,M,W,W,10/12/2020,2023,D3,CRIMINAL CITATION,SUMMONED/CITED,POSSESSION OF MARIJUANA OVER 28.5 GRAMS (CITE),3602,SAIKI,CITED,N
SJ2020202860932,SJ202014852,441865839,28,M,W,W,10/12/2020,2139,X4,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),3832,CARMODY,CHARGED/BOOKED,N
SJ2020202860956,SJ202014858,441999587,48,M,H,H,10/12/2020,2334,UI,ON VIEW,ON VIEW ARREST,STALK UND PROHIBITIVE RESTRAIN ORDR/INJUNCT (ONVW),4520,BARRETT JR,CHARGED/BOOKED,N
SJ2020202889703,SJ202018080,442279124,29,M,B,B,10/12/2020,1640,E4,CRIMINAL CITATION,SUMMONED/CITED,PROSTITUTION (CITE),4650,BALABUROVA,CITED,N
SJ2020J3168990 C,SJ202015014,441941100,34,M,W,W,10/12/2020,2023,D3,CRIMINAL CITATION,SUMMONED/CITED,POSSESSION OF MARIJUANA OVER 28.5 GRAMS (CITE),3602,SAIKI,CITED,N
SJ2020J3414584 C,SJ202014889,288752643,36,F,H,H,10/12/2020,1410,,CRIMINAL CITATION,SUMMONED/CITED,BATTERY ON PERSON (PUNISHMENT) (CITE),3467,MARTINEZ,CITED,N
SJ2020J3464284 C,SJ202014887,442200713,26,M,H,H,10/12/2020,1434,,CRIMINAL CITATION,SUMMONED/CITED,INDECENT EXPOSURE (CITE),4545,ORTEGA,CITED,N
SJ2020J3467328 C,SJ202014888,442278197,23,M,W,W,10/12/2020,2315,P2,CRIMINAL CITATION,SUMMONED/CITED,SMOG DEVICE (CITE),3298,GUESS,CITED,N
SJ2020J3469869 C,SJ202014890,442183844,27,F,H,H,10/12/2020,1210,S6,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4876,HOU,CITED,N
SJ2020J3471389 C,SJ202014885,442270572,43,F,O,O,10/12/2020,1922,A4,CRIMINAL CITATION,SUMMONED/CITED,BATTERY ON PERSON (PUNISHMENT) (CITE),4811,SEVILLANO JR,CITED,N
SJ2020J3471647 C,SJ202014886,180355599,55,M,W,W,10/12/2020,925,K5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4838,NGUYEN,CITED,N
SJ2020J3472785 C,SJ202014884,441734189,51,M,B,B,10/12/2020,611,L2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4892,GOTTWALS,CITED,N
SJ2020J3474153 C,SJ202018080,442279124,29,M,B,B,10/12/2020,1640,E4,CRIMINAL CITATION,SUMMONED/CITED,PROSTITUTION (CITE),4650,BALABUROVA,CITED,N
SJ2020WARRANT C,SJ202017358,441782414,26,F,H,H,10/12/2020,1847,K6,CRIMINAL CITATION,SUMMONED/CITED,DRIVE W/O LICENSE (CITE),4305,BABINEAU,CITED,N
SJ2020200699744,SJ202015116,153159700,60,M,H,H,10/13/2020,1330,V1,CRIMINAL CITATION,SUMMONED/CITED,WILLFULLY FAIL TO REREGISTER ON OR BEFORE THE THIRTIETH DAY (CITE),,,CITED,N
SJ2020201471107,SJ202015114,442118431,30,M,H,H,10/13/2020,1300,V1,CRIMINAL CITATION,SUMMONED/CITED,RESTRICTED DRIVER OPERATE VEHICLE W/O INTERLOCK DEVICE (CITE),,,CITED,N
SJ2020201490725,SJ202014895,441921839,27,M,H,H,10/13/2020,1045,V1,CRIMINAL CITATION,SUMMONED/CITED,TO INVADE PRIVACY OF ANOTHER (CITE),,,CITED,N
SJ2020201510033,SJ202015122,441988493,20,M,B,B,10/13/2020,1300,V1,CRIMINAL CITATION,SUMMONED/CITED,"RESISTING, DELAYING, OBSTRUCTING AN OFFICER (CITE)",,,CITED,N
SJ2020201660970,SJ202017360,442141626,19,M,H,H,10/13/2020,1500,V1,CRIMINAL CITATION,SUMMONED/CITED,EVADING A POLICE OFFICER WHILE IN VEHICLE (CITE),,,CITED,N
SJ2020201710141,SJ202015132,441878963,47,M,P,P,10/13/2020,845,V1,CRIMINAL CITATION,SUMMONED/CITED,LIKELY PRODUCE BODILY HARM OR DEATH BY PERS HAVING CARE/CUSTOD (CITE),,,CITED,N
SJ2020201849704,SJ202016379,441738803,43,M,H,H,10/13/2020,1000,V1,WARRANT,ON VIEW ARREST,BAT:SPOUSE/EX SP/DATE/ETC (WARR),,,OTHER,N
SJ2020202850446,SJ202014914,141558018,29,M,H,H,10/13/2020,933,S5,ON VIEW,ON VIEW ARREST,THEFT OR UNAUTHORIZED USE OF VEHICLE (ONVW),4857,MADERA ARROYO,CHARGED/BOOKED,N
SJ2020202850857,SJ202014932,441722953,28,M,H,H,10/13/2020,1809,A4,ON VIEW,ON VIEW ARREST,VANDALISM (ONVW),4814,CONWAY,CHARGED/BOOKED,N
SJ2020202870020,SJ202014893,442278226,24,M,H,H,10/13/2020,53,,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4810,CODY,CITED,N
SJ2020202870027,SJ202014891,442017913,55,M,H,H,10/13/2020,114,S4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4871,MONTEON,CITED,N
SJ2020202870035,SJ202014859,165675266,40,F,W,W,10/13/2020,110,L4,ON VIEW,ON VIEW ARREST,BATTERY (ONVW),,,CHARGED/BOOKED,N
SJ2020202870097,SJ202014862,442278267,41,M,H,H,10/13/2020,423,F5,ON VIEW,ON VIEW ARREST,OBSTRUCT OR RESIST EXECUTIVE OFFICER (ONVW),4823,BROWN,CHARGED/BOOKED,N
SJ2020202870103,SJ202015607,441898293,21,M,H,H,10/13/2020,405,L2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS OPEN CONTAINER OF MARIJUANA IN A VEHICLE (CITE),4892,GOTTWALS,CITED,N
SJ2020202870103,SJ202014892,442014192,26,M,H,H,10/13/2020,455,L2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS OPEN CONTAINER OF MARIJUANA IN A VEHICLE (CITE),4871,MONTEON,CITED,N
SJ2020202870145,SJ202014951,441853181,72,M,H,H,10/13/2020,820,L3,CRIMINAL CITATION,SUMMONED/CITED,UNLAWFUL POSS SHOPPING CART (CITE),2869,GUERRA,CITED,N
SJ2020202870200,SJ202014912,216270086,35,M,H,H,10/13/2020,1134,X5,ON VIEW,ON VIEW ARREST,POSSESS UNLAWFUL PARAPHERNALIA (ONVW),4869,ALVAREZ,CHARGED/BOOKED,N
SJ2020202870218,SJ202014928,442181886,39,M,A,P,10/13/2020,1036,R2,ON VIEW,ON VIEW ARREST,EXHIBITING A DEADLY WEAPON (ONVW),4682,LOIZZO,CHARGED/BOOKED,N
SJ2020202870226,SJ202014914,141558018,29,M,H,H,10/13/2020,933,S5,ON VIEW,ON VIEW ARREST,THEFT OR UNAUTHORIZED USE OF VEHICLE (ONVW),4857,MADERA ARROYO,CHARGED/BOOKED,N
SJ2020202870255,SJ202014916,441919249,51,M,A,A,10/13/2020,1010,C1,ON VIEW,ON VIEW ARREST,POSSESS CONTROLLED SUBSTANCE (ONVW),4891,LOZANO,CHARGED/BOOKED,N
SJ2020202870256,SJ202014905,442071310,32,M,H,H,10/13/2020,1100,C1,ON VIEW,ON VIEW ARREST,POSSESS UNLAWFUL PARAPHERNALIA (ONVW),,,CHARGED/BOOKED,N
SJ2020202870285,SJ202014911,441798855,27,M,H,W,10/13/2020,1056,N3,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),4472,GHAZARIAN,CHARGED/BOOKED,N
SJ2020202870324,SJ202014950,441795517,54,M,A,A,10/13/2020,1157,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4860,GOLDBERG,CITED,N
SJ2020202870324,SJ202014949,169804303,49,M,V,V,10/13/2020,1204,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4860,GOLDBERG,CITED,N
SJ2020202870338,SJ202014918,441765632,23,M,H,H,10/13/2020,1530,R1,PROBATION HOLD,TAKEN INTO CUSTODY/WARRANT ARREST ONLY,POST RELEASE COMMUNITY SUPV VIOLATION (PRHL),4323,FERRANTE,CHARGED/BOOKED,N
SJ2020202870385,SJ202014947,441942925,41,M,A,A,10/13/2020,1230,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4863,BELHAMRA,CITED,N
SJ2020202870385,SJ202014948,441764529,27,F,V,V,10/13/2020,1230,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4863,BELHAMRA,CITED,N
SJ2020202870402,SJ202016027,442119735,17,M,H,H,10/13/2020,1258,,ON VIEW,ON VIEW ARREST,DOMESTIC VIOLENCE VOP AND BATTERY,,,CHARGED/BOOKED,Y
SJ2020202870403,SJ202014917,442063740,22,M,W,H,10/13/2020,1254,F4,ON VIEW,ON VIEW ARREST,TRANSPORT/ETC CNTL SUB (ONVW),4846,LEITE,CHARGED/BOOKED,N
SJ2020202870409,SJ202014915,441863073,36,M,H,H,10/13/2020,1306,L4,ON VIEW,ON VIEW ARREST,THEFT OR UNAUTHORIZED USE OF VEHICLE (ONVW),4854,TYLER,CHARGED/BOOKED,N
SJ2020202870430,SJ202014920,442231194,37,M,H,H,10/13/2020,1605,X1,ON VIEW,ON VIEW ARREST,BAT:SPOUSE/EX SP/DATE/ETC (ONVW),4226,YASIN,CHARGED/BOOKED,N
SJ2020202870450,SJ202014921,442001210,35,M,H,H,10/13/2020,1749,,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
SJ2020202870518,SJ202014962,442263818,27,M,H,H,10/13/2020,1526,Y1,ON VIEW,ON VIEW ARREST,DUI ALCOHOL/DRUGS W/INJ (ONVW),4333,CRUZ,CHARGED/BOOKED,N
SJ2020202870528,SJ202014952,442219822,46,M,H,H,10/13/2020,1510,S5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),3658,ROBERSON,CITED,N
SJ2020202870575,SJ202014953,441823089,36,M,B,B,10/13/2020,1542,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4545,ORTEGA,CITED,N
SJ2020202870590,SJ202014954,442278363,53,F,B,B,10/13/2020,1654,S4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4874,COSTA,CITED,N
SJ2020202870615,SJ202014924,441890695,23,M,H,H,10/13/2020,1650,M5,ON VIEW,ON VIEW ARREST,CONTEMPT:DISOBEY CRT ORDR (ONVW),4720,SWIERGOT,CHARGED/BOOKED,N
SJ2020202870655,SJ202014958,442278352,42,M,H,H,10/13/2020,1900,R3,CRIMINAL CITATION,SUMMONED/CITED,VAND/PROP NOT BELONG TO SUSP (CITE),4580,GONZALEZ,CITED,N
SJ2020202870669,SJ202015293,441920153,42,M,A,A,10/13/2020,1733,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4809,VERGANO,CITED,N
SJ2020202870688,SJ202014925,441953376,37,M,W,W,10/13/2020,1802,E2,ON VIEW,ON VIEW ARREST,BURGLARY: FIRST DEGREE (ONVW),3613,ROCHA,CHARGED/BOOKED,N
SJ2020202870699,SJ202014919,441820152,23,M,H,H,10/13/2020,1800,N5,ON VIEW,ON VIEW ARREST,CONTRIBUTE TO DELINQUENCY MINR (ONVW),4369,SITU,CHARGED/BOOKED,N
SJ2020202870699,SJ202015906,441902106,17,M,H,H,10/13/2020,1800,,ON VIEW,ON VIEW ARREST,MINOR POSN OF FIREARM AND AMMO,,,CHARGED/BOOKED,Y
SJ2020202870729,SJ202014929,185860366,24,M,H,H,10/13/2020,1825,M4,ON VIEW,ON VIEW ARREST,POSSESS CONTROLLED SUBSTANCE (ONVW),4894,CASTRO,CHARGED/BOOKED,N
SJ2020202870751,SJ202014955,442137943,45,M,H,H,10/13/2020,1843,T3,CRIMINAL CITATION,SUMMONED/CITED,ALTERATION AND FALSIFICATION OF EVIDENCE OF REGISTRATION (CITE),4849,MISKEENYAR,CITED,N
SJ2020202870756,SJ202014935,442080424,71,F,A,P,10/13/2020,1911,L3,ON VIEW,ON VIEW ARREST,EXHIBIT DEADLY WEAPON:NOT FIREARM (ONVW),4827,MENDEZ,CHARGED/BOOKED,N
SJ2020202870774,SJ202014926,441909639,60,F,W,W,10/13/2020,1932,L4,ON VIEW,ON VIEW ARREST,ARSON: PROPERTY (ONVW),4502,BURCHFIEL,CHARGED/BOOKED,N
SJ2020202870799,SJ202014963,442170744,46,M,H,H,10/13/2020,2259,V3,ON VIEW,ON VIEW ARREST,OBSTRUCT/RESIST EXECUTIVE OFFICER (ONVW),4460,KIM,CHARGED/BOOKED,N
SJ2020202870821,SJ202014922,441732154,29,M,H,H,10/13/2020,2038,P5,ON VIEW,ON VIEW ARREST,THREATS TO COMMIT CRIME RESULTING IN DEATH OR GBI (ONVW),4862,FULLERTON-SANDER,CHARGED/BOOKED,N
SJ2020202870827,SJ202014936,442278377,28,M,W,W,10/13/2020,2022,L4,ON VIEW,ON VIEW ARREST,ROBBERY (ONVW),4563,LANDIS,CHARGED/BOOKED,N
SJ2020202870846,SJ202014956,442278471,49,M,H,H,10/13/2020,2050,R4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4580,GONZALEZ,CITED,N
SJ2020202870880,SJ202014933,442278389,67,F,O,O,10/13/2020,2310,L1,ON VIEW,ON VIEW ARREST,TRESPASS (ONVW),4611,AREVALO,CHARGED/BOOKED,N
SJ2020202870893,SJ202014927,442043794,48,M,H,H,10/13/2020,2213,C4,ON VIEW,ON VIEW ARREST,INFLICT CORPORAL INJ SPOUSE/COHAB (ONVW),4880,JAYCOX,CHARGED/BOOKED,N
SJ2020202870906,SJ202014975,60031239,28,M,H,H,10/13/2020,2242,M4,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB F/SALE (ONVW),4490,GONZALEZ,CHARGED/BOOKED,N
SJ2020202870911,SJ202014923,442278362,46,F,B,B,10/13/2020,2242,P1,ON VIEW,ON VIEW ARREST,POSSESSION OF A DIRK OR DAGGER (ONVW),4875,NGUYEN,CHARGED/BOOKED,N
SJ2020202870925,SJ202014931,442026897,35,M,H,H,10/13/2020,2248,S5,ON VIEW,ON VIEW ARREST,RAPE:NOT SPECIFIED (ONVW),4540,SERASSIO,CHARGED/BOOKED,N
SJ2020202870932,SJ202015040,442278663,18,F,W,W,10/13/2020,2235,,ON VIEW,ON VIEW ARREST,LOITERING W/INTENT TO COMMIT PROSTITUTION (ONVW),4551,FALKNER,CHARGED/BOOKED,N
SJ2020202870941,SJ202014939,441795143,39,M,W,W,10/13/2020,2328,S6,ON VIEW,ON VIEW ARREST,ARSON: PROPERTY (ONVW),2869,GUERRA,CHARGED/BOOKED,N
SJ2020202870942,SJ202014938,441739612,21,F,H,H,10/13/2020,2250,L1,ON VIEW,ON VIEW ARREST,OBSTRUCT/RESIST PUB OFCR (ONVW),4512,WESTRUP,CHARGED/BOOKED,N
SJ2020202870955,SJ202014940,442278456,27,F,H,H,10/13/2020,2345,,ON VIEW,ON VIEW ARREST,DUI ALCOHOL/DRUGS (ONVW),4865,SILVERSTEIN,CHARGED/BOOKED,N
SJ2020J3464286 C,SJ202014953,441823089,36,M,B,B,10/13/2020,1542,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4545,ORTEGA,CITED,N
SJ2020J3464313 C,SJ202014958,442278352,42,M,H,H,10/13/2020,1900,R3,CRIMINAL CITATION,SUMMONED/CITED,VAND/PROP NOT BELONG TO SUSP (CITE),4580,GONZALEZ,CITED,N
SJ2020J3464314 C,SJ202014956,442278471,49,M,H,H,10/13/2020,2050,R4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4580,GONZALEZ,CITED,N
SJ2020J3468966 C,SJ202014954,442278363,53,F,B,B,10/13/2020,1654,S4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4874,COSTA,CITED,N
SJ2020J3469971 C,SJ202014891,442017913,55,M,H,H,10/13/2020,114,S4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4871,MONTEON,CITED,N
SJ2020J3469972 C,SJ202014892,442014192,26,M,H,H,10/13/2020,455,L2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS OPEN CONTAINER OF MARIJUANA IN A VEHICLE (CITE),4871,MONTEON,CITED,N
SJ2020J3470635 C,SJ202015293,441920153,42,M,A,A,10/13/2020,1733,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4809,VERGANO,CITED,N
SJ2020J3472211 C,SJ202014893,442278226,24,M,H,H,10/13/2020,53,,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4810,CODY,CITED,N
SJ2020J3472229 C,SJ202014955,442137943,45,M,H,H,10/13/2020,1843,T3,CRIMINAL CITATION,SUMMONED/CITED,ALTERATION AND FALSIFICATION OF EVIDENCE OF REGISTRATION (CITE),4849,MISKEENYAR,CITED,N
SJ2020J3472266 C,SJ202014950,441795517,54,M,A,A,10/13/2020,1157,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4860,GOLDBERG,CITED,N
SJ2020J3472267 C,SJ202014949,169804303,49,M,V,V,10/13/2020,1204,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4860,GOLDBERG,CITED,N
SJ2020J3472729 C,SJ202014952,442219822,46,M,H,H,10/13/2020,1510,S5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),3658,ROBERSON,CITED,N
SJ2020J3472786 C,SJ202015607,441898293,21,M,H,H,10/13/2020,405,L2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS OPEN CONTAINER OF MARIJUANA IN A VEHICLE (CITE),4892,GOTTWALS,CITED,N
SJ2020J3472787 C,SJ202014951,441853181,72,M,H,H,10/13/2020,820,L3,CRIMINAL CITATION,SUMMONED/CITED,UNLAWFUL POSS SHOPPING CART (CITE),2869,GUERRA,CITED,N
SJ2020J3472932 C,SJ202014947,441942925,41,M,A,A,10/13/2020,1230,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4863,BELHAMRA,CITED,N
SJ2020J3472933 C,SJ202014948,441764529,27,F,V,V,10/13/2020,1230,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4863,BELHAMRA,CITED,N
SJ2020WARRANT C,SJ202015122,441988493,20,M,B,B,10/13/2020,1300,V1,CRIMINAL CITATION,SUMMONED/CITED,"RESISTING, DELAYING, OBSTRUCTING AN OFFICER (CITE)",,,CITED,N
SJ2020WARRANT C,SJ202015116,153159700,60,M,H,H,10/13/2020,1330,V1,CRIMINAL CITATION,SUMMONED/CITED,WILLFULLY FAIL TO REREGISTER ON OR BEFORE THE THIRTIETH DAY (CITE),,,CITED,N
SJ2020WARRANT C,SJ202015114,442118431,30,M,H,H,10/13/2020,1300,V1,CRIMINAL CITATION,SUMMONED/CITED,RESTRICTED DRIVER OPERATE VEHICLE W/O INTERLOCK DEVICE (CITE),,,CITED,N
SJ2020WARRANT C,SJ202014895,441921839,27,M,H,H,10/13/2020,1045,V1,CRIMINAL CITATION,SUMMONED/CITED,TO INVADE PRIVACY OF ANOTHER (CITE),,,CITED,N
SJ2020WARRANT C,SJ202017360,442141626,19,M,H,H,10/13/2020,1500,V1,CRIMINAL CITATION,SUMMONED/CITED,EVADING A POLICE OFFICER WHILE IN VEHICLE (CITE),,,CITED,N
SJ2020WARRANT C,SJ202015132,441878963,47,M,P,P,10/13/2020,845,V1,CRIMINAL CITATION,SUMMONED/CITED,LIKELY PRODUCE BODILY HARM OR DEATH BY PERS HAVING CARE/CUSTOD (CITE),,,CITED,N
SJ2020201240469,SJ202015131,441742045,22,F,H,H,10/14/2020,1255,V1,CRIMINAL CITATION,SUMMONED/CITED,INFLICT CORP INJ ON SPOUSE/COHAB (CITE),,,CITED,N
SJ2020201900395,SJ202015304,316145935,27,M,H,H,10/14/2020,1752,,ON VIEW,ON VIEW ARREST,CARRY CONCEALED WEAPON ON PERSON (ONVW),,,CHARGED/BOOKED,N
SJ2020202031004,SJ202015134,441735209,24,M,H,H,10/14/2020,1050,V1,CRIMINAL CITATION,SUMMONED/CITED,DUI WITH ALCOHOL 0 08 PERCENT OR MORE (CITE),,,CITED,N
SJ2020202870994,SJ202014930,441733347,48,M,W,W,10/14/2020,11,L3,ON VIEW,ON VIEW ARREST,POSSESS CONTROLLED SUBSTANCE (ONVW),4222,MACIAS,CHARGED/BOOKED,N
SJ2020202880038,SJ202014937,441814203,24,M,H,H,10/14/2020,118,P1,ON VIEW,ON VIEW ARREST,POSSESS NARC CONTROL SUBSTANCE (ONVW),4887,LEE,CHARGED/BOOKED,N
SJ2020202880053,SJ202014934,167510805,27,M,H,H,10/14/2020,149,W4,ON VIEW,ON VIEW ARREST,"RESISTING, DELAYING, OBSTRUCTING AN OFFICER (ONVW)",4817,SOLAS,CHARGED/BOOKED,N
SJ2020202880053,SJ202014959,442246996,26,M,B,B,10/14/2020,226,W4,CRIMINAL CITATION,SUMMONED/CITED,VANDALISM (CITE),4845,ZHAO,CITED,N
SJ2020202880078,SJ202014941,442278458,44,M,H,H,10/14/2020,355,F2,ON VIEW,ON VIEW ARREST,DRIVING UNDER THE INFLUENCE (ONVW),4453,DALEY,CHARGED/BOOKED,N
SJ2020202880202,SJ202015012,442190368,21,F,W,W,10/14/2020,1045,A5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),,,CITED,N
SJ2020202880212,SJ202016008,442281396,47,M,H,H,10/14/2020,1000,C1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4879,LEONCE,CITED,N
SJ2020202880259,SJ202016228,441836192,27,M,H,H,10/14/2020,1030,K4,ON VIEW,ON VIEW ARREST,BAT:SPOUSE/EX SP/DATE/ETC (ONVW),3467,MARTINEZ,CHARGED/BOOKED,N
SJ2020202880342,SJ202015015,441733734,40,M,H,H,10/14/2020,1127,S6,ON VIEW,ON VIEW ARREST,THEFT OR UNAUTHORIZED USE OF VEHICLE (ONVW),4890,DIAZ,CHARGED/BOOKED,N
SJ2020202880417,SJ202014960,246808843,40,M,H,H,10/14/2020,1250,Y2,ON VIEW,ON VIEW ARREST,VANDALISM ($400.00 OR MORE) (ONVW),4333,CRUZ,CHARGED/BOOKED,N
SJ2020202880481,SJ202014961,441803489,52,M,H,H,10/14/2020,1416,K3,ON VIEW,ON VIEW ARREST,VIO CRT ORD TO PREVNT DOMES VIOL (ONVW),3467,MARTINEZ,CHARGED/BOOKED,N
SJ2020202880556,SJ202015016,441739332,52,M,W,W,10/14/2020,1520,S1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4259,BARRETT,CITED,N
SJ2020202880619,SJ202014970,441826125,47,M,H,W,10/14/2020,1719,Y4,ON VIEW,ON VIEW ARREST,POSSESSION OF A SAPS AND SIMILAR WEAPONS (ONVW),,,CHARGED/BOOKED,N
SJ2020202880632,SJ202015044,135397656,38,M,H,H,10/14/2020,1655,K4,ON VIEW,ON VIEW ARREST,POSSESSION OF CERTAIN CONTRLD SUB WHILE ARMED WITH FIREARM (ONVW),4342,YEE,CHARGED/BOOKED,N
SJ2020202880649,SJ202014965,441876966,61,M,W,W,10/14/2020,1717,E1,ON VIEW,ON VIEW ARREST,POSSESSION OF DRUGS WHERE PRISONERS ARE KEPT (ONVW),4398,PERRY,CHARGED/BOOKED,N
SJ2020202880673,SJ202014966,442278509,36,F,W,W,10/14/2020,1827,V4,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
